"title","Start Date","End Date","body","quarter","building","room","sponsor","promote","nid","created","repeat"
"Orientation Make-up Session","2014-10-08 23:00:00 to 2014-10-09 00:30:00","2014-10-08 23:00:00 to 2014-10-09 00:30:00","<p>If you missed some of the orientation sessions on diversity, health and wellness and safety, please attend.</p>","","","Lecture Hall 1","","No","1395","2015-10-06T14:38:48-07:00","<span class=""date-display-single"">Wednesday, October 8, 2014 - <span class=""date-display-range""><span class=""date-display-start"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2014-10-08T16:00:00-07:00"">4:00 pm</span> to <span class=""date-display-end"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2014-10-08T17:30:00-07:00"">5:30 pm</span></span></span>"
"Sacred Trees of India: Photographs by Deidi von Schaewen - Exhibition Opening Reception","2014-10-09 00:00:00 to 2014-10-09 02:00:00","2014-10-09 00:00:00 to 2014-10-09 02:00:00","<p>Exhibition opening reception<br /> Sacred Trees of India: Photographs by Deidi von Schaewen</p> <p>Evergreen Gallery is extremely pleased to announce the fall exhibition, Sacred Trees of India: Photographs by Deidi von Schaewen. For the past 28 years, von Schaewen has traveled in India, immersing herself in its people and culture, and exploring themes through her photography and video. For her series on the Sacred Trees, she traveled the length and breadth of India. The exhibition in Evergreen Gallery is an opportunity to view these lush, complex images in large-scale, to be surrounded by their energy and power.</p> <p>Born in Berlin, von Schaewen studied painting at the Berlin Academy of Arts before deciding to concentrate on photography and film. Currently she is based in Paris. She has exhibited extensively throughout Europe, India, North Africa, and the US. Twenty books of her photographs have been published, with one about Sacred Trees of India due out next year. A continuing obsession of hers is to capture on film the ephemeral, aspects of our urban and rural civilizations that are temporary, fleeting, or vanishing with time. For the Sacred Trees of India, it is more a revelation of devotion and accumulation over time, the ability of trees to survive, rejuvenate, transform – in India, trees are not only sacred to the gods, they can actually BE gods.</p> <p>Von Schaewen was director of photography for a feature film by Robert Cordier in 1972 – a time when it was unusual for a woman to be in that position. She continued as director of photography on other films, and in 1978 she began writing and directing her own films. One of her films, Sravanabelgola, will be showing in Evergreen Gallery as part of the exhibition.</p> <p>For more information, please visit <a href=""http://www.evergreen.edu/gallery"">www.evergreen.edu/gallery</a>.</p>","","","Evergreen Gallery, Library Bldg, The Evergreen State College, Olympia, WA","","No","807","2015-10-06T14:14:04-07:00","<span class=""date-display-single"">Wednesday, October 8, 2014 - <span class=""date-display-range""><span class=""date-display-start"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2014-10-08T17:00:00-07:00"">5:00 pm</span> to <span class=""date-display-end"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2014-10-08T19:00:00-07:00"">7:00 pm</span></span></span>"
"How to choose a college that’s a good fit for you","2014-10-09 01:00:00 to 2014-10-09 03:00:00","2014-10-09 01:00:00 to 2014-10-09 03:00:00","<p>As a collaboration between South Puget Sound Community College, The Evergreen State College and Saint Martin’s University, this event is the first of three College Planning Seminars held for local high school students, their families and counselors. These workshops will highlight the differences between the three different types of institutions: a public two-year community college, a public four-year college, and a private four-year university while covering the topics of college “fit”, financial aid and the college application. All three sessions are free and open to the public, no reservation is required. For more information, visit <a href=""http://www.stmartin.edu/admissions/undergraduate/Southsound.aspx"">http://www.stmartin.edu/admissions/undergraduate/Southsound.aspx</a> or call Clarisse Leong at St. Martin's: (360) 867-6170.</p>","","","Lecture Hall 1 - The Evergreen State College, Evergreen Parkway Northwest, Olympia, WA, United States","","No","924","2015-10-06T14:17:20-07:00","<span class=""date-display-single"">Wednesday, October 8, 2014 - <span class=""date-display-range""><span class=""date-display-start"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2014-10-08T18:00:00-07:00"">6:00 pm</span> to <span class=""date-display-end"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2014-10-08T20:00:00-07:00"">8:00 pm</span></span></span>"
"Weekly Programming","2014-10-09 03:00:00 to 2014-10-09 05:00:00","2014-10-09 03:00:00 to 2014-10-09 05:00:00","<p>Weekly programming for RA Michelle Grinstead's residents.</p>","","","HCC","","No","982","2015-10-06T14:23:47-07:00","<span class=""date-display-single"">Wednesday, October 8, 2014 - <span class=""date-display-range""><span class=""date-display-start"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2014-10-08T20:00:00-07:00"">8:00 pm</span> to <span class=""date-display-end"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2014-10-08T22:00:00-07:00"">10:00 pm</span></span></span>"
"Women's Soccer vs. Corban","2014-10-09 23:00:00 to 2014-10-10 01:00:00","2014-10-09 23:00:00 to 2014-10-10 01:00:00","","","","Geoduck Pitch (Field #4)","","No","1040","2015-10-06T14:26:34-07:00","<span class=""date-display-single"">Thursday, October 9, 2014 - <span class=""date-display-range""><span class=""date-display-start"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2014-10-09T16:00:00-07:00"">4:00 pm</span> to <span class=""date-display-end"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2014-10-09T18:00:00-07:00"">6:00 pm</span></span></span>"
"Board Game Night","2014-10-10 02:30:00 to 2014-10-10 04:30:00","2014-10-10 02:30:00 to 2014-10-10 04:30:00","<p>Board Game Night</p>","","","RADAR","","No","996","2015-10-06T14:23:52-07:00","<span class=""date-display-single"">Thursday, October 9, 2014 - <span class=""date-display-range""><span class=""date-display-start"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2014-10-09T19:30:00-07:00"">7:30 pm</span> to <span class=""date-display-end"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2014-10-09T21:30:00-07:00"">9:30 pm</span></span></span>"
"Fridays at Evergreen","2014-10-10 17:00:00 to 2014-10-10 22:30:00","2014-10-10 17:00:00 to 2014-10-10 22:30:00","<p>The sessions are perfect for prospective students who are interested in attending Evergreen in September 2015. Family members are also welcome. These sessions are a great way for you to meet current students, staff and faculty. Spend an hour walking on the campus tour after the formal program.</p> <p><a href=""http://www.evergreen.edu/admissions/events/fridays.htm"">http://www.evergreen.edu/admissions/events/fridays.htm</a></p>","","","","","No","936","2015-10-06T14:17:20-07:00","<span class=""date-display-single"">Friday, October 10, 2014 - <span class=""date-display-range""><span class=""date-display-start"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2014-10-10T10:00:00-07:00"">10:00 am</span> to <span class=""date-display-end"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2014-10-10T15:30:00-07:00"">3:30 pm</span></span></span>"
"Coming Out Day Celebration","2014-10-10 17:00:00 to 2014-10-10 22:00:00","2014-10-10 17:00:00 to 2014-10-10 22:00:00","<p>Celebrate Coming Out Day in Red Square with the student organization T*REX (Trans* Resources and Education eXtravaganza)!</p>","","","Red Square","","No","1280","2015-10-06T14:28:34-07:00","<span class=""date-display-single"">Friday, October 10, 2014 - <span class=""date-display-range""><span class=""date-display-start"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2014-10-10T10:00:00-07:00"">10:00 am</span> to <span class=""date-display-end"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2014-10-10T15:00:00-07:00"">3:00 pm</span></span></span>"
"Hyogo Urasenke Tea Ceremony","2014-10-10 20:00:00 to 2014-10-10 23:00:00","2014-10-10 20:00:00 to 2014-10-10 23:00:00","<p>Visiting members of the traditional Japanese tea school, Urasenke, are coming from Olympia's sister-prefecture in Hyogo, Japan to hold a tea gathering at Evergreen. Three ceremonies with opportunities for questions will be held at 1pm, 2pm, and 3pm. The event is sponsored by the student organization Way of Tea, Hyogo Prefecture, and The President's Office.</p>","","","SEM 2 D1105","","No","1277","2015-10-06T14:28:34-07:00","<span class=""date-display-single"">Friday, October 10, 2014 - <span class=""date-display-range""><span class=""date-display-start"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2014-10-10T13:00:00-07:00"">1:00 pm</span> to <span class=""date-display-end"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2014-10-10T16:00:00-07:00"">4:00 pm</span></span></span>"
"Textbook order deadline for Winter 2015","2014-10-11 00:00:00 to 2014-10-11 01:00:00","2014-10-11 00:00:00 to 2014-10-11 01:00:00","","","","","","No","695","2015-10-06T13:37:50-07:00","<span class=""date-display-single"">Friday, October 10, 2014 - <span class=""date-display-range""><span class=""date-display-start"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2014-10-10T17:00:00-07:00"">5:00 pm</span> to <span class=""date-display-end"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2014-10-10T18:00:00-07:00"">6:00 pm</span></span></span>"
"Coming Out Stories","2014-10-11 01:00:00 to 2014-10-11 03:00:00","2014-10-11 01:00:00 to 2014-10-11 03:00:00","<p>Join the student organization T*REX (Trans* Resources and Education eXtravaganza) for an evening of sharing stories of coming out.</p>","","","SEM 2 B1105","","No","1279","2015-10-06T14:28:34-07:00","<span class=""date-display-single"">Friday, October 10, 2014 - <span class=""date-display-range""><span class=""date-display-start"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2014-10-10T18:00:00-07:00"">6:00 pm</span> to <span class=""date-display-end"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2014-10-10T20:00:00-07:00"">8:00 pm</span></span></span>"
"Geoducks @Nite presents Carnival in the CAB","2014-10-11 03:00:00 to 2014-10-11 06:00:00","2014-10-11 03:00:00 to 2014-10-11 06:00:00","<p>Come check out all the fun activities in our student union building. Visit the Student Activities Office for free popcorn. The Student Art Gallery will host an art opening and there will be music and activities on all three floors. </p> <p>This event is part of the Geoducks @Nite calendar of evening activities. The link to the full calendar of events is available below. </p> <p><a href=""http://www.evergreen.edu/activities/docs/Geoducks%20Nite%20Poster.pdf"">http://www.evergreen.edu/activities/docs/Geoducks%20Nite%20Poster.pdf</a></p>","","","Student Art Gallery & other CAB locations","","No","1287","2015-10-06T14:28:34-07:00","<span class=""date-display-single"">Friday, October 10, 2014 - <span class=""date-display-range""><span class=""date-display-start"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2014-10-10T20:00:00-07:00"">8:00 pm</span> to <span class=""date-display-end"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2014-10-10T23:00:00-07:00"">11:00 pm</span></span></span>"
"Women's Soccer vs. Northwest Christian","2014-10-11 18:00:00 to 2014-10-11 20:00:00","2014-10-11 18:00:00 to 2014-10-11 20:00:00","","","","Geoduck Pitch (Field #4)","","No","1039","2015-10-06T14:26:34-07:00","<span class=""date-display-single"">Saturday, October 11, 2014 - <span class=""date-display-range""><span class=""date-display-start"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2014-10-11T11:00:00-07:00"">11:00 am</span> to <span class=""date-display-end"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2014-10-11T13:00:00-07:00"">1:00 pm</span></span></span>"
"Geoducks @Nite presents Shellfish Garden Work Party & Workshop","2014-10-12 07:00:00 to 2014-10-12 09:00:00","2014-10-12 07:00:00 to 2014-10-12 09:00:00","<p>Join the student group Shellfish Club for a midnight adventure to the beach to learn more about shellfish in our native waters. Some boots, headlamps, and gloves are provided, but bring them if you have them. </p> <p>This event is part of the Geoducks @Nite calendar of evening activities. The link to the full calendar of events is available below. </p> <p><a href=""http://www.evergreen.edu/activities/docs/Geoducks%20Nite%20Poster.pdf"">http://www.evergreen.edu/activities/docs/Geoducks%20Nite%20Poster.pdf</a></p>","","","Meet at F Lot Trailhead","","No","1286","2015-10-06T14:28:34-07:00","<span class=""date-display-single"">Sunday, October 12, 2014 - <span class=""date-display-range""><span class=""date-display-start"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2014-10-12T00:00:00-07:00"">12:00 am</span> to <span class=""date-display-end"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2014-10-12T02:00:00-07:00"">2:00 am</span></span></span>"
"Gotham in RADAR","2014-10-13 02:00:00 to 2014-10-13 04:00:00","2014-10-13 02:00:00 to 2014-10-13 04:00:00","<p>Come Watch Episodes of Gotham in RADAR</p>","","","RADAR","","No","998","2015-10-06T14:23:52-07:00","<span class=""date-display-single"">Sunday, October 12, 2014 - <span class=""date-display-range""><span class=""date-display-start"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2014-10-12T19:00:00-07:00"">7:00 pm</span> to <span class=""date-display-end"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2014-10-12T21:00:00-07:00"">9:00 pm</span></span></span>"
"Week 3 Fall Quarter","2014-10-13 07:00:00","2014-10-13 07:00:00","","","","","","No","768","2015-10-06T13:38:07-07:00","<span class=""date-display-single"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2014-10-13T00:00:00-07:00"">Monday, October 13, 2014 (All day)</span>"
"MiT Information Workshop","2014-10-14 21:00:00 to 2014-10-14 22:30:00","2014-10-14 21:00:00 to 2014-10-14 22:30:00","<p>Information on Master in Teaching program and how to become a certified teacher in WA</p>","","","Tacoma Campus","","No","926","2015-10-06T14:17:20-07:00","<span class=""date-display-single"">Tuesday, October 14, 2014 - <span class=""date-display-range""><span class=""date-display-start"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2014-10-14T14:00:00-07:00"">2:00 pm</span> to <span class=""date-display-end"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2014-10-14T15:30:00-07:00"">3:30 pm</span></span></span>"
"The Art Lecture Series - Emily Abendroth, Poet","2014-10-15 18:30:00 to 2014-10-15 20:00:00","2014-10-15 18:30:00 to 2014-10-15 20:00:00","<p>Free to the public, Evergreen's visual arts and writing programs offer an opportunity to hear local, national and international interdisciplinary artists, writers and art workers speak about their work. The fall 2014 series will present a diverse and interesting lineup. Artists were chosen (albeit loosely) with the year's theme of ""paying attention"" in mind. The theme comes from the orientation book, ""Crow Planet"" by Lyanda Lynn Haupt. Please join us in welcoming Emily Abendroth to our campus. For more information go to <a href=""http://blogs.evergreen.edu/artistlectureseries/"">http://blogs.evergreen.edu/artistlectureseries/</a>.</p>","","","Lecture Hall 1 - The Evergreen State College, Evergreen Parkway Northwest, Olympia, WA, United States","","No","811","2015-10-06T14:14:04-07:00","<span class=""date-display-single"">Wednesday, October 15, 2014 - <span class=""date-display-range""><span class=""date-display-start"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2014-10-15T11:30:00-07:00"">11:30 am</span> to <span class=""date-display-end"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2014-10-15T13:00:00-07:00"">1:00 pm</span></span></span>"
"Inkfest 2014","2014-10-15 20:00:00 to 2014-10-15 22:00:00","2014-10-15 20:00:00 to 2014-10-15 22:00:00","<p>Come to Inkfest 2014, hosted by the Writing Center! Get a free copy of the new Inkwell, get involved with writing organizations on campus, and listen to readings by Evergreen writers! There will be free coffee and treats! Inkfest 2014 will be held Wednesday, October 15th from 1-3pm in the main library lobby. That's week 3! See you there!</p> <p>For more information, go to <a href=""http://www.evergreen.edu/writingcenter"">www.evergreen.edu/writingcenter</a>.</p>","","","Main Library Lobby - The Evergreen State College, Olympia, WA","","No","921","2015-10-06T14:17:20-07:00","<span class=""date-display-single"">Wednesday, October 15, 2014 - <span class=""date-display-range""><span class=""date-display-start"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2014-10-15T13:00:00-07:00"">1:00 pm</span> to <span class=""date-display-end"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2014-10-15T15:00:00-07:00"">3:00 pm</span></span></span>"
"Planning Unit Meeting","2014-10-15 20:00:00 to 2014-10-15 22:00:00","2014-10-15 20:00:00 to 2014-10-15 22:00:00","","","","TBA","","No","692","2015-10-06T13:37:50-07:00","<span class=""date-display-single"">Wednesday, October 15, 2014 - <span class=""date-display-range""><span class=""date-display-start"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2014-10-15T13:00:00-07:00"">1:00 pm</span> to <span class=""date-display-end"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2014-10-15T15:00:00-07:00"">3:00 pm</span></span></span>"
"Men's Soccer vs. Northwest Christian","2014-10-15 22:00:00 to 2014-10-16 00:00:00","2014-10-15 22:00:00 to 2014-10-16 00:00:00","","","","","","No","1038","2015-10-06T14:26:34-07:00","<span class=""date-display-single"">Wednesday, October 15, 2014 - <span class=""date-display-range""><span class=""date-display-start"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2014-10-15T15:00:00-07:00"">3:00 pm</span> to <span class=""date-display-end"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2014-10-15T17:00:00-07:00"">5:00 pm</span></span></span>"
"Agenda Committee","2014-10-15 22:00:00 to 2014-10-16 00:00:00","2014-10-15 22:00:00 to 2014-10-16 00:00:00","","","","Boardroom LIB 3201A","","No","659","2015-10-06T13:37:39-07:00","<span class=""date-display-single"">Wednesday, October 15, 2014 - <span class=""date-display-range""><span class=""date-display-start"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2014-10-15T15:00:00-07:00"">3:00 pm</span> to <span class=""date-display-end"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2014-10-15T17:00:00-07:00"">5:00 pm</span></span></span>"
"TRiO @ Evergreen Workshop - SALT Financial Literacy & Budgeting","2014-10-15 22:30:00 to 2014-10-15 23:30:00","2014-10-15 22:30:00 to 2014-10-15 23:30:00","","","","LIB 1001","","No","1385","2015-10-06T14:38:43-07:00","<span class=""date-display-single"">Wednesday, October 15, 2014 - <span class=""date-display-range""><span class=""date-display-start"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2014-10-15T15:30:00-07:00"">3:30 pm</span> to <span class=""date-display-end"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2014-10-15T16:30:00-07:00"">4:30 pm</span></span></span>"
"Preparing for the Graduate School Fair","2014-10-15 23:00:00 to 2014-10-16 00:00:00","2014-10-15 23:00:00 to 2014-10-16 00:00:00","","","","LIB 2151 Career Resource Library","","No","1406","2015-10-06T14:38:48-07:00","<span class=""date-display-single"">Wednesday, October 15, 2014 - <span class=""date-display-range""><span class=""date-display-start"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2014-10-15T16:00:00-07:00"">4:00 pm</span> to <span class=""date-display-end"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2014-10-15T17:00:00-07:00"">5:00 pm</span></span></span>"
"Halloween Zombie Fest Planning Meeting in RADAR","2014-10-16 18:00:00 to 2014-10-16 19:00:00","2014-10-16 18:00:00 to 2014-10-16 19:00:00","","","","RADAR","","No","995","2015-10-06T14:23:52-07:00","<span class=""date-display-single"">Thursday, October 16, 2014 - <span class=""date-display-range""><span class=""date-display-start"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2014-10-16T11:00:00-07:00"">11:00 am</span> to <span class=""date-display-end"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2014-10-16T12:00:00-07:00"">12:00 pm</span></span></span>"
"Community Living Workshop (RADAR)","2014-10-17 00:00:00 to 2014-10-17 01:00:00","2014-10-17 00:00:00 to 2014-10-17 01:00:00","<p>Appointment only. No drop-ins please :)</p>","","","RADAR","","No","999","2015-10-06T14:23:52-07:00","<span class=""date-display-single"">Thursday, October 16, 2014 - <span class=""date-display-range""><span class=""date-display-start"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2014-10-16T17:00:00-07:00"">5:00 pm</span> to <span class=""date-display-end"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2014-10-16T18:00:00-07:00"">6:00 pm</span></span></span>"
"Open Mic Music","2014-10-17 02:00:00 to 2014-10-17 04:00:00","2014-10-17 02:00:00 to 2014-10-17 04:00:00","<p>The Student Art Gallery is hosting a themed Open Mic Music night! Come perform at our open mic or participate as an audience member.</p>","","","Student Art Gallery: CAB 310","","No","1260","2015-10-06T14:28:25-07:00","<span class=""date-display-single"">Thursday, October 16, 2014 - <span class=""date-display-range""><span class=""date-display-start"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2014-10-16T19:00:00-07:00"">7:00 pm</span> to <span class=""date-display-end"" property=""dc:date"" datatype=""xsd:dateTime"" content=""2014-10-16T21:00:00-07:00"">9:00 pm</span></span></span>"
