read comment,,,,,,,,,TUITION Rates,Resident,Non-Resident,18+credits Resident,18+ Credits Non-resident,
,,,,,,,,,Undergraduate,250.4,730.9,222,683,
,,,,,,,,,Graduate,304.6,716.7,0,0,
Resident Undergraduate,Non-resident Undergraduate,Resident Graduate,Non-resident Graduate,Total Fee,Tuition ResUndGrad,Tuition NonResUndGrad,Tuition ResGrad,Tuition NonRes Grad,CREDITS,Health,Transit,Energy,CAB fee,WashPIRG
532.30,1493.30,640.70,1464.90,31.50,500.8,1461.8,609.2,1433.4,2,0.00,10.00,2.00,11.50,8.00
791.95,2233.45,954.55,2190.85,40.75,751.2,2192.7,913.8,2150.1,3,0.00,12.50,3.00,17.25,8.00
1051.60,2973.60,1268.40,2916.80,50.00,1001.6,2923.6,1218.4,2866.8,4,0.00,15.00,4.00,23.00,8.00
1311.25,3713.75,1582.25,3642.75,59.25,1252,3654.5,1523,3583.5,5,0.00,17.50,5.00,28.75,8.00
1570.90,4453.90,1896.10,4368.70,68.50,1502.4,4385.4,1827.6,4300.2,6,0.00,20.00,6.00,34.50,8.00
1830.55,5194.05,2209.95,5094.65,77.75,1752.8,5116.3,2132.2,5016.9,7,0.00,22.50,7.00,40.25,8.00
2090.20,5934.20,2523.80,5820.60,87.00,2003.2,5847.2,2436.8,5733.6,8,0.00,25.00,8.00,46.00,8.00
2349.85,6674.35,2837.65,6546.55,96.25,2253.6,6578.1,2741.4,6450.3,9,0.00,27.50,9.00,51.75,8.00
2697.50,7502.50,3239.50,7360.50,193.50,2504,7309,3046,7167,10,88.00,30.00,10.00,57.50,8.00
2706.75,7511.75,3248.75,7369.75,202.75,2504,7309,3046,7167,11,88.00,32.50,11.00,63.25,8.00
2716.00,7521.00,3258.00,7379.00,212.00,2504,7309,3046,7167,12,88.00,35.00,12.00,69.00,8.00
2722.75,7527.75,3264.75,7385.75,218.75,2504,7309,3046,7167,13,88.00,35.00,13.00,74.75,8.00
2729.50,7534.50,3271.50,7392.50,225.50,2504,7309,3046,7167,14,88.00,35.00,14.00,80.50,8.00
2736.25,7541.25,3278.25,7399.25,232.25,2504,7309,3046,7167,15,88.00,35.00,15.00,86.25,8.00
2743.00,7548.00,3285.00,7406.00,239.00,2504,7309,3046,7167,16,88.00,35.00,16.00,92.00,8.00
2749.75,7554.75,,,245.75,2504,7309,,,17,88.00,35.00,17.00,97.75,8.00
2756.50,7561.50,,,252.50,2504,7309,,,18,88.00,35.00,18.00,103.50,8.00
2985.25,8251.25,,,259.25,2726,7992,,,19,88.00,35.00,19.00,109.25,8.00
3214.00,8941.00,,,266.00,2948,8675,,,20,88.00,35.00,20.00,115.00,8.00
,,,,,,,,,SUMMER TUITION Rates,Resident,Non-Resident,,,
,,,,,,,,,Undergraduate,251,720,,,
,,,,,,,,,Graduate,294,705.9,,,
Resident Undergraduate,Non-resident Undergraduate,Resident Graduate,Non-resident Graduate,Total Fee,Tuition ResUndGrad,Tuition NonResUndGrad,Tuition ResGrad,Tuition NonRes Grad,CREDITS,Health,Transit,Energy,CAB fee,WashPIRG
528.50,1466.50,614.50,1438.30,26.50,502,1440,588,1411.8,2,0.00,5.00,2.00,11.50,8.00
788.75,2195.75,917.75,2153.45,35.75,753,2160,882,2117.7,3,0.00,7.50,3.00,17.25,8.00
1049.00,2925.00,1221.00,2868.60,45.00,1004,2880,1176,2823.6,4,0.00,10.00,4.00,23.00,8.00
1309.25,3654.25,1524.25,3583.75,54.25,1255,3600,1470,3529.5,5,0.00,12.50,5.00,28.75,8.00
1569.50,4383.50,1827.50,4298.90,63.50,1506,4320,1764,4235.4,6,0.00,15.00,6.00,34.50,8.00
1829.75,5112.75,2130.75,5014.05,72.75,1757,5040,2058,4941.3,7,0.00,17.50,7.00,40.25,8.00
2090.00,5842.00,2434.00,5729.20,82.00,2008,5760,2352,5647.2,8,0.00,20.00,8.00,46.00,8.00
2350.25,6571.25,2737.25,6444.35,91.25,2259,6480,2646,6353.1,9,0.00,22.50,9.00,51.75,8.00
2610.50,7300.50,3040.50,7159.50,100.50,2510,7200,2940,7059,10,0.00,25.00,10.00,57.50,8.00
2870.75,8029.75,3343.75,7874.65,109.75,2761,7920,3234,7764.9,11,0.00,27.50,11.00,63.25,8.00
3131.00,8759.00,3647.00,8589.80,119.00,3012,8640,3528,8470.8,12,0.00,30.00,12.00,69.00,8.00
3388.75,9485.75,3947.75,9302.45,125.75,3263,9360,3822,9176.7,13,0.00,30.00,13.00,74.75,8.00
3646.50,10212.50,4248.50,10015.10,132.50,3514,10080,4116,9882.6,14,0.00,30.00,14.00,80.50,8.00
3904.25,10939.25,4549.25,10727.75,139.25,3765,10800,4410,10588.5,15,0.00,30.00,15.00,86.25,8.00
4162.00,11666.00,4850.00,11440.40,146.00,4016,11520,4704,11294.4,16,0.00,30.00,16.00,92.00,8.00
4419.75,12392.75,,,152.75,4267,12240,,,17,0.00,30.00,17.00,97.75,8.00
4677.50,13119.50,,,159.50,4518,12960,,,18,0.00,30.00,18.00,103.50,8.00
4935.25,13846.25,,,166.25,4769,13680,,,19,0.00,30.00,19.00,109.25,8.00
5193.00,14573.00,,,173.00,5020,14400,,,20,0.00,30.00,20.00,115.00,8.00
